Species	Temperature	Oscillation	Dish	Germinated	Germinable
SCAT	25C	alternate	B	19	25
SCAT	25C	alternate	C	19	23
SCAT	25C	alternate	D	16	21
SCAT	25C	constant	A	20	24
SCAT	25C	constant	B	20	23
SCAT	25C	constant	C	20	24
SCAT	25C	constant	D	18	21
SCAT	5C	constant	A	14	24
SCAT	5C	constant	B	7	24
SCAT	5C	constant	C	9	24
SCAT	5C	constant	D	3	24
STAR	10C	alternate	A	0	14
STAR	10C	alternate	B	0	9
STAR	10C	alternate	C	0	11
STAR	10C	alternate	D	1	8
STAR	10C	constant	A	0	7
STAR	10C	constant	B	0	6
STAR	10C	constant	C	2	8
STAR	10C	constant	D	0	11
STAR	15C	alternate	A	5	12
STAR	15C	alternate	B	1	2
STAR	15C	alternate	C	5	7
STAR	15C	alternate	D	2	7
STAR	15C	constant	A	2	11
STAR	15C	constant	B	1	13
STAR	15C	constant	C	2	8
STAR	15C	constant	D	1	8
STAR	20C	alternate	A	11	12
STAR	20C	alternate	B	12	12
STAR	20C	alternate	C	1	1
STAR	20C	alternate	D	10	10
STAR	20C	constant	A	6	11
STAR	20C	constant	B	8	16
STAR	20C	constant	C	8	14
STAR	20C	constant	D	3	13
STAR	25C	alternate	A	10	10
STAR	25C	alternate	B	7	9
STAR	25C	alternate	C	8	9
STAR	25C	alternate	D	3	3
STAR	25C	constant	A	7	9
STAR	25C	constant	B	9	9
STAR	25C	constant	C	4	7
STAR	25C	constant	D	5	9
TOBA	10C	alternate	A	13	18
TOBA	10C	alternate	B	15	22
TOBA	10C	alternate	C	13	19
TOBA	10C	alternate	D	15	21
TOBA	10C	constant	A	19	19
TOBA	10C	constant	B	21	21
TOBA	10C	constant	C	18	18
TOBA	10C	constant	D	20	21
TOBA	15C	alternate	A	21	21
TOBA	15C	alternate	B	21	21
TOBA	15C	alternate	C	17	17
TOBA	15C	alternate	D	18	20
TOBA	15C	constant	A	20	20
TOBA	15C	constant	B	22	22
TOBA	15C	constant	C	19	19
TOBA	15C	constant	D	13	14
TOBA	20C	alternate	A	19	21
TOBA	20C	alternate	B	18	19
TOBA	20C	alternate	C	16	16
TOBA	20C	alternate	D	18	19
TOBA	20C	constant	A	22	22
TOBA	20C	constant	B	21	21
TOBA	20C	constant	C	16	16
TOBA	20C	constant	D	18	19
TOBA	25C	alternate	A	17	21
TOBA	25C	alternate	B	9	13
TOBA	25C	alternate	C	10	14
TOBA	25C	alternate	D	12	17
TOBA	25C	constant	A	17	19
TOBA	25C	constant	B	15	22
TOBA	25C	constant	C	14	18
TOBA	25C	constant	D	16	18
TOBA	5C	constant	A	15	15
TOBA	5C	constant	B	20	22
TOBA	5C	constant	C	20	20
TOBA	5C	constant	D	18	18
TOMA	10C	alternate	A	1	26
TOMA	10C	alternate	B	1	26
TOMA	10C	alternate	C	2	26
TOMA	10C	alternate	D	0	27
TOMA	10C	constant	A	9	28
TOMA	10C	constant	B	13	26
TOMA	10C	constant	C	10	25
TOMA	10C	constant	D	13	25
TOMA	15C	alternate	A	5	25
TOMA	15C	alternate	B	4	24
TOMA	15C	alternate	C	11	25
TOMA	15C	alternate	D	13	25
TOMA	15C	constant	A	8	24
TOMA	15C	constant	B	12	26
TOMA	15C	constant	C	14	25
TOMA	15C	constant	D	11	27
TOMA	20C	alternate	A	22	25
TOMA	20C	alternate	B	22	26
TOMA	20C	alternate	C	21	26
TOMA	20C	alternate	D	23	26
TOMA	20C	constant	A	13	27
TOMA	20C	constant	B	15	26
TOMA	20C	constant	C	12	25
TOMA	20C	constant	D	16	26
TOMA	25C	alternate	A	14	25
TOMA	25C	alternate	B	8	24
TOMA	25C	alternate	C	1	24
TOMA	25C	alternate	D	2	24
TOMA	25C	constant	A	3	27
TOMA	25C	constant	B	9	24
TOMA	25C	constant	C	4	22
TOMA	25C	constant	D	3	25
TOMA	5C	constant	A	0	25
TOMA	5C	constant	B	0	28
TOMA	5C	constant	C	0	27
TOMA	5C	constant	D	1	25
TUGU	10C	alternate	A	1	23
TUGU	10C	alternate	B	2	25
TUGU	10C	alternate	C	2	25
TUGU	10C	alternate	D	1	25
TUGU	10C	constant	A	4	24
TUGU	10C	constant	B	0	24
TUGU	10C	constant	C	0	26
TUGU	10C	constant	D	2	24
TUGU	15C	alternate	A	2	25
TUGU	15C	alternate	B	3	25
TUGU	15C	alternate	C	0	25
TUGU	15C	alternate	D	1	26
TUGU	15C	constant	A	3	25
TUGU	15C	constant	B	3	27
TUGU	15C	constant	C	5	25
TUGU	15C	constant	D	2	24
TUGU	20C	alternate	A	0	25
